鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
竹北市,房地(土地+建物),新竹縣竹北市新興路６５巷７弄５號,254.0,,特定農業區,農牧用地,1141218,土地3建物1車位0,全,二層,透天厝,農業用,加強磚造,,135.8,4,2,2,有,無,8000000,58910,,0.0,0,其他增建；,RPQNMLQKMHLGFBJ68DA,135.8,0.0,0.0,無,
新埔鎮,房地(土地+建物),新竹縣新埔鎮安石街１９巷２０號,103.99,,特定農業區,甲種建築用地,1141225,土地3建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,1070608,190.35,4,2,3,有,有,16000000,84056,,0.0,0,,RPXQMLRJMHLGFBJ07DA,184.05,5.05,1.25,無,038
關西鎮,房地(土地+建物)+車位,新竹縣關西鎮北平路２７７號七樓,25.25,住,,,1141130,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141229,129.39,2,2,2,有,有,11950000,103582,坡道平面,31.4,1800000,,RPORMLRJMHLGFBJ88DA,61.4,0.0,3.89,有,
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉錦州三街１４號五樓,19.2,,工業區,丁種建築用地,1141103,土地1建物1車位2,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810619,59.41,2,2,1,有,有,3340000,56219,一樓平面,0.0,0,,RPQNMLPJNHLGFDJ88EA,43.73,0.0,4.2,有,
關西鎮,房地(土地+建物)+車位,新竹縣關西鎮北平路２７１號二樓,32.42,住,,,1141031,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141229,151.53,3,2,2,有,有,11550000,80163,坡道平面,26.16,1500000,,RPUPMLSJMHLGFBJ76DA,75.37,0.0,8.16,有,
竹北市,土地,社南段805地號,363.27,住,,,1140922,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,71428500,196626,,0.0,0,,RPPNMLQJNHLGFBJ68EA,0.0,0.0,0.0,無,
竹北市,房地(土地+建物),新竹縣竹北市鳳岡路一段３９８巷２３弄３１號,68.57,,山坡地保育區,丙種建築用地,1140824,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0900120,120.68,5,2,3,有,有,9800000,81206,,0.0,0,陽台外推；其他增建；,RPPOMLOLMHLGFBJ58DA,100.78,4.36,15.54,無,039
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉明德街１５１巷２號六樓之２,26.93,住,,,1140420,土地1建物1車位3,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140815,241.47,3,2,2,有,有,17330000,101124,坡道平面,110.64,4100000,原預售屋合約總價新台幣1473萬，於1150308增購雙車位新台幣260萬，故交易總價為新台幣1733萬預售屋、或土地及建物分件登記案件；,RPQNMLRLMHLGFDJ09DA,77.0,4.96,6.32,有,
湖口鄉,房地(土地+建物),新竹縣湖口鄉中愛路１２號,115.7,農,,,1140329,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1141231,201.42,3,2,2,有,無,25550000,126849,,0.0,0,土地價款新台幣1482萬元整建物價款新台幣1073萬元整預售屋、或土地及建物分件登記案件；,RPUNMLNLMHLGFDJ09DA,197.32,0.0,4.1,有,
關西鎮,房地(土地+建物)+車位,新竹縣關西鎮北平路２７１號五樓,32.42,住,,,1131108,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141229,151.53,3,2,2,有,有,11750000,81758,坡道平面,26.16,1500000,,RPTNMLSJMHLGFBJ09DA,75.37,0.0,8.16,有,
關西鎮,房地(土地+建物)+車位,新竹縣關西鎮北平路２６９號五樓,33.04,住,,,1131012,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141229,154.61,3,2,2,有,有,12600000,86415,坡道平面,26.16,1500000,,RPQPMLRJMHLGFBJ88DA,76.25,0.0,9.33,有,
關西鎮,房地(土地+建物)+車位,新竹縣關西鎮北平路２５９號二樓,33.35,住,,,1130826,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141229,156.07999999999998,3,2,2,有,有,13000000,88516,坡道平面,26.16,1500000,,RPUOMLMJMHLGFBJ68DA,77.73,0.0,8.83,有,
關西鎮,房地(土地+建物)+車位,新竹縣關西鎮北平路２５３號二樓,34.6,住,,,1130817,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141229,160.61,3,2,2,有,有,14250000,94831,坡道平面,26.16,1500000,,RPOOMLRJMHLGFBJ58DA,81.28,0.0,8.3,有,
關西鎮,房地(土地+建物)+車位,新竹縣關西鎮北平路２６３號二樓,33.97,住,,,1130824,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141229,158.0,3,2,2,有,有,12670000,84724,坡道平面,26.16,1500000,,RPTPMLRJMHLGFBJ56DA,78.51,0.0,9.33,有,
關西鎮,房地(土地+建物)+車位,新竹縣關西鎮北平路２６９號六樓,33.04,住,,,1130707,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141229,154.61,3,2,2,有,有,12300000,83307,坡道平面,26.17,1600000,,RPWQMLRJMHLGFBJ96DA,76.25,0.0,9.33,有,
關西鎮,房地(土地+建物)+車位,新竹縣關西鎮北平路２７５號,34.29,都市：其他:住宅區,,,1130728,土地1建物1車位1,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141229,159.43,3,2,2,有,有,14800000,99797,坡道平面,26.16,1500000,預售屋、或土地及建物分件登記案件；,RPSNMLSJMHLGFBJ98DA,79.34,0.0,9.45,有,
關西鎮,房地(土地+建物)+車位,新竹縣關西鎮北平路２６５號三樓,33.35,住,,,1130624,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141229,155.5,3,2,2,有,有,11400000,76542,坡道平面,26.16,1500000,,RPPQMLRJMHLGFBJ88DA,77.73,0.0,8.44,有,
關西鎮,房地(土地+建物)+車位,新竹縣關西鎮北平路２５７號三樓,33.66,住,,,1130616,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141229,156.43,3,2,2,有,有,11080000,74319,坡道平面,26.18,1400000,,RPPNMLMLMHLGFBJ28DA,78.85,0.0,7.94,有,
關西鎮,房地(土地+建物)+車位,新竹縣關西鎮北平路２５１號三樓,43.64,住,,,1130518,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141229,195.57999999999998,4,2,2,有,有,14700000,78503,坡道平面,26.16,1400000,,RPVNMLRJMHLGFBJ56DA,100.98,0.0,11.9,有,
關西鎮,房地(土地+建物)+車位,新竹縣關西鎮北平路２５３號三樓,34.6,住,,,1130523,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141229,160.61,3,2,2,有,有,12400000,81815,坡道平面,26.16,1400000,,RPSOMLRJMHLGFBJ98DA,81.28,0.0,8.3,有,
關西鎮,房地(土地+建物)+車位,新竹縣關西鎮北平路２５１號四樓,43.64,住,,,1130511,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141229,195.57999999999998,4,2,2,有,有,14300000,76142,坡道平面,26.16,1400000,,RPOPMLRJMHLGFBJ68DA,100.98,0.0,11.9,有,
關西鎮,房地(土地+建物)+車位,新竹縣關西鎮北平路２７５號二樓,34.29,住,,,1130509,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141229,159.43,3,2,2,有,有,11900000,78787,坡道平面,26.16,1400000,,RPSPMLSJMHLGFBJ56DA,79.34,0.0,9.45,有,
關西鎮,房地(土地+建物)+車位,新竹縣關西鎮北平路２６３號五樓,33.97,住,,,1130407,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141229,158.01,3,2,2,有,有,11870000,78656,坡道平面,26.17,1500000,,RPWOMLRJMHLGFBJ76DA,78.51,0.0,9.33,有,
關西鎮,房地(土地+建物)+車位,新竹縣關西鎮北平路２７７號五樓,25.25,住,,,1130423,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141229,124.17000000000002,2,2,2,有,有,10000000,86735,坡道平面,26.17,1500000,,RPXNMLSJMHLGFBJ86DA,61.4,0.0,3.89,有,
