鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
竹北市,房地(土地+建物)+車位,新竹縣竹北市文信路１８６號三樓之一,41.97,住,,,1130409,土地2建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141229,234.71,4,2,2,有,有,39900000,195810,坡道平面,41.41,2050000,預售屋、或土地及建物分件登記案件；,RPTOMLOLKHLGFBJ78DA,112.55,0.0,10.76,有,
竹北市,房地(土地+建物)+車位,新竹縣竹北市文信路１８６號七樓之一,41.97,住,,,1130406,土地2建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141229,234.71,4,2,2,有,有,39580000,193378,坡道平面,41.41,2200000,預售屋、或土地及建物分件登記案件；,RPXOMLOLKHLGFBJ56DA,112.55,0.0,10.76,有,
竹北市,房地(土地+建物),新竹縣竹北市文信路１８６號十一樓之一,41.97,住,,,1130413,土地2建物1車位0,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141229,193.31,4,2,2,有,有,38880000,201128,,0.0,0,預售屋、或土地及建物分件登記案件；,RPRPMLOLKHLGFBJ68DA,112.55,0.0,10.76,有,
竹北市,房地(土地+建物)+車位,新竹縣竹北市文信路１８８號,39.12,住,,,1130427,土地2建物1車位1,一層,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,1141229,201.74,0,1,1,有,有,44800000,264766,坡道平面,41.41,2350000,預售屋、或土地及建物分件登記案件；,RPUPMLOLKHLGFBJ98DA,107.35,0.0,7.56,有,
竹北市,房地(土地+建物)+車位,新竹縣竹北市文信路１８６號七樓之二,33.85,住,,,1130331,土地2建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141229,197.34,3,2,2,有,有,33150000,198487,坡道平面,41.41,2200000,預售屋、或土地及建物分件登記案件；,RPUNMLOLKHLGFBJ78DA,90.96,0.0,8.48,有,
竹北市,房地(土地+建物)+車位,新竹縣竹北市文信路１８６號十樓之二,33.85,住,,,1130330,土地2建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141229,197.34,3,2,2,有,有,33110000,197268,坡道平面,41.41,2350000,預售屋、或土地及建物分件登記案件；,RPXNMLOLKHLGFBJ09DA,90.96,0.0,8.48,有,
竹北市,房地(土地+建物)+車位,新竹縣竹北市文信路１８６號八樓之一,42.17,住,,,1130330,土地2建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141229,232.11,4,2,2,有,有,39910000,193944,坡道平面,37.93,2250000,預售屋、或土地及建物分件登記案件；,RPOPMLOLKHLGFBJ38DA,112.55,0.0,11.33,有,
竹北市,房地(土地+建物)+車位,新竹縣竹北市文信路１８６號六樓之二,33.85,住,,,1130329,土地2建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141229,197.34,3,2,2,有,有,33200000,197845,坡道平面,41.41,2350000,預售屋、或土地及建物分件登記案件；,RPTNMLOLKHLGFBJ68DA,90.96,0.0,8.48,有,
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮至善路３５巷２６號八樓,19.55,住,,,1121013,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140730,139.67000000000002,2,2,2,有,有,10610000,91024,坡道平面,36.84,1250000,預售屋、或土地及建物分件登記案件；,RPROMLNKLHLGFCJ58DA,62.2,0.0,7.1,有,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉明湖路７９號六樓,27.45,住,,,1111027,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141126,123.86,2,2,2,有,有,12450000,121640,坡道平面,33.84,1500000,於114.12.18預售屋權利轉讓買賣成交價格維持不變預售屋、或土地及建物分件登記案件；,RPVOMLLKLHLGFCJ78DA,57.78,0.0,4.89,有,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉明湖路７５號三樓,34.09,住,,,1110826,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141126,146.04,3,2,2,有,有,13740000,110428,坡道平面,33.84,1350000,預售屋權利轉售權利買賣契約成立於114年5月19日.成交價格新台幣1479萬元整預售屋、或土地及建物分件登記案件；,RPVNMLLKLHLGFCJ68DA,71.66,0.0,6.58,有,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉明湖路８５號三樓,32.18,住,,,1110822,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141126,139.38,3,2,2,有,有,12180000,102615,坡道平面,33.84,1350000,於114.12.8預售屋權利轉讓買賣成交價格維持不變預售屋、或土地及建物分件登記案件；,RPXPMLMKLHLGFCJ56DA,69.35,0.0,4.12,有,
