鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
尖石鄉,土地,嘉樂段517地號,2020.0,,山坡地保育區,農牧用地,1150114,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2510000,1243,,0.0,0,未登記建物；,RPPNMLOJLHLGFCJ28DA,0.0,0.0,0.0,無,012
北埔鄉,土地,南昌段440地號,1324.03,,特定農業區,農牧用地,1150111,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4800000,3625,,0.0,0,農作物；,RPRNMLPJLHLGFCJ58DA,0.0,0.0,0.0,無,
竹北市,車位,新竹縣竹北市自強北路１６６號之一地下一層,0.62,住,,,1150120,土地1建物1車位1,地下一層,十四層,其他,管理員室,鋼筋混凝土造,0940131,38.32,0,0,0,無,有,500000,,坡道平面,25.54,500000,僅車位交易；,RPSNMLMLJHLGFBJ28DA,0.0,0.0,0.0,有,013
竹北市,車位,新竹縣竹北市自強北路１６６號之一地下一層,0.62,住,,,1150120,土地1建物1車位1,地下一層,十四層,其他,管理員室,鋼筋混凝土造,0940131,38.32,0,0,0,無,有,450000,,坡道平面,25.54,450000,僅車位交易；,RPTNMLMLJHLGFBJ38DA,0.0,0.0,0.0,有,013
竹北市,車位,新竹縣竹北市自強北路１６６號之一地下一層,0.62,住,,,1150120,土地1建物1車位1,地下一層,十四層,其他,管理員室,鋼筋混凝土造,0940131,38.32,0,0,0,無,有,450000,,坡道平面,25.54,450000,僅車位交易；,RPUNMLMLJHLGFBJ48DA,0.0,0.0,0.0,有,013
竹北市,車位,新竹縣竹北市自強北路１６６號之一地下一層,0.62,住,,,1150122,土地1建物1車位1,地下一層,十四層,其他,管理員室,鋼筋混凝土造,0940131,38.32,0,0,0,無,有,450000,,坡道平面,25.54,450000,僅車位交易；,RPUOMLRLJHLGFBJ09DA,0.0,0.0,0.0,有,013
竹北市,房地(土地+建物)+車位,新竹縣竹北市莊敬五街３８號三樓,13.37,商,,,1150126,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950519,149.32999999999998,3,2,2,有,有,20360000,136351,坡道平面,0.0,0,陽台外推；,RPXPMLMJKHLGFBJ88DA,68.77,3.46,21.84,有,017
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮中興路二段１５２巷３３弄２０號一樓,40.6,,特定農業區,甲種建築用地,1150101,土地1建物1車位1,一層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890427,154.47,4,2,2,有,有,10880000,70434,坡道平面,0.0,0,,RPUNMLOKJHLGFCJ68DA,94.35,0.0,8.56,有,
寶山鄉,土地,二坪段365地號,925.91,,山坡地保育區,國土保安用地,1150126,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,21000000,22680,,0.0,0,,RPPNMLMKKHLGFCJ08DA,0.0,0.0,0.0,無,
峨眉鄉,土地,河背段7地號,2519.48,,山坡地保育區,農牧用地,1150129,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,11500000,4564,,0.0,0,農作物；,RPPNMLRJLHLGFCJ58DA,0.0,0.0,0.0,無,
寶山鄉,房地(土地+建物),新竹縣寶山鄉雙園路二段３４６號三樓之１,17.96,商,,,1150101,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1140114,58.989999999999995,2,2,1,有,無,8500000,144092,,0.0,0,,RPRNMLPJLHLGFCJ68EA,45.46,0.0,3.16,無,
